rule id,rule
98bc98222bdc965ad9f59095fcf7af63,The output must include a link to the stylesheet 'https://cdn.jsdelivr.net/npm/@picocss/pico@1/css/pico.min.css' within the head tag of the HTML document.
8e45ba2df9aaaaf7249ac93fb0488256,"The output must contain the meta tag `<meta name=""viewport"" content=""width=device-width, initial-scale=1"">` in the head tag of the HTML document."
3c9d39325becca17218464e45b55f211,"All content within the body tag of the HTML document should be enclosed in a main tag with the class ""container""."
0e8af5c5059551aca793abcef5598875,CSS used in the HTML document should emphasize the use of padding and negative space to enhance the visual appeal of the website.
68b86a2743a79e54fdfbed7a1db1e9db,"The output must include a navigation structure right before the main area of the website formatted as `<nav class=""container-fluid""><ul><li><strong></strong></li></ul><ul><li><a href=""#""></a></li><li><a href=""#""></a></li><li><a href=""#"" role=""button""></a></li></ul></nav>`."
a1f4241a182fe6c27afb0c313c9e7a26,"The main area of the website in the output should follow the structure `<main class=""container""><div class=""grid""><section><hgroup><h2></h2><h3></h3></hgroup><p></p><figure><img src="""" alt="""" /><figcaption><a href="""" target=""_blank""></a></figcaption></figure><h3></h3><p></p><h3></h3><p></p></section></div></main>`."
5a33eb853197673c1495261f48caa2d9,"The output must include a subscription section with the specified structure `<section aria-label=""Subscribe example""><div class=""container""><article><hgroup><h2></h2><h3></h3></hgroup><form class=""grid""><input type=""text"" id=""firstname"" name=""firstname"" placeholder="""" aria-label="""" required /><input type=""email"" id=""email"" name=""email"" placeholder="""" aria-label="""" required /><button type=""submit"" onclick=""event.preventDefault()""></button></form></article></div></section>`."
dd8058609fd8f21f23c70efbb24ea980,"The footer of the HTML document in the output must be structured as `<footer class=""container""><small><a href=""""></a> • <a href=""""></a></small></footer>`."
4bc543869bb017b2b4aca55e931d7d1f,Images used in the HTML document must have their source links from Unsplash.
050b1a92aefcd66f04f9670454ffcee2,"Once the HTML content is created, DesignerGPT must actively send it to 'https://xxxxxx/create-page' for webpage creation and hosting."
