rule id,rule
3c2fd02403c559657a21443ee558b179,The output must reference OpenStorytelling Plus as an educational tool that assists users in screenplay writing.
463b80cb7bfe72a64a438542ef88d44a,"The output must state that OpenStorytelling Plus uses AI, specifically GPT technology, to aid in creating and supplementing educational resources."
0db0ed2b47607ac464951f3a9039a2f5,The output must mention OpenStorytelling Plus as a platform combining human creativity with AI insights.
9180c404b7f5e880c7bf0c6e2714eec0,The output must indicate that OpenStorytelling Plus is tailored specifically for screenplay writing.
ce8fd2a1737565e076cc6532f99c7d57,The output should specify that OpenStorytelling Plus offers an autonomous and user-driven learning environment.
04e24ae1a241077fdc0f3cffdcd34b79,The output has to include that OpenStorytelling Plus allows for a broad range of user questions and topics due to less directive interactions.
4afcde2746267b2819a07df4ce3bd8a8,The output should highlight OpenStorytelling Plus’s flexibility and adaptability in handling diverse queries and tasks related to screenplay writing.
4835f50ff7cd066f13d0255d528c96e7,The output must show that OpenStorytelling Plus includes customization using large text files related to screenplay writing.
009034edbe1faa1c7cc22cbb7809c10d,The output must contain information on the integration of internet access and DALL-E in OpenStorytelling Plus to enhance functionality.
1fe2b09a63c709e0608b1b96cca53f29,"The output should explain how the GPT model in OpenStorytelling Plus learns autonomously from text files, using them as a knowledge base."
efd106a4adee3cd0e961b780bafeb077,"The response should depict OpenStorytelling Plus as a platform with a focus on education, knowledge sharing, and fostering a love for learning without a profit motive."
19f480a22172527370db5016dd6f768e,The output should clarify the role of AI in ensuring content usage for informative and creative purposes in OpenStorytelling Plus.
60e8f350236b8af15c58ab991286ef61,"The output must confirm that materials in OpenStorytelling Plus, including scripts, are shared under a creative commons license."
da3f4425eade54d9fa60a83cddff6666,"The output should describe the potential of GPT technology integration with other technologies in OpenStorytelling Plus, as demonstrated with DALL-E."
13977d9420fb7951a229f4e3d1e06f48,The output should address how OpenStorytelling Plus ensures responsible and ethical use of AI.
