rule id,rule
3181b33152888a77b476d3e2f80d4466,"The output must use placeholders specific to the user's data, such as hair type or concerns, to personalize the responses."
0f42f816adc4352fa08833a2c14185d0,Output advice on hairstyle recommendations should be based on the user's input hair type and thickness.
f5d4cf944823decb051808d828ad8101,"When providing tutorials, the advice should be formatted as a step-by-step guide to enhance comprehension and usability."
823bc2b4a98bd3c7cc5472a0d610642d,"When offering product suggestions, the output should specifically address how the products cater to the user's reported hair type and concerns."
ba70172020a078e87ecdebcc36732e45,"Responses must adapt based on the user's choice among the provided options (Hairstyle recommendations, Hair care tips, Product suggestions, Solving specific hair problems)."
cd404d2d5719764f25d640acf6d86b1b,"The system must include a mechanism to allow users to refine their answers or ask follow-up questions, ensuring an interactive feedback loop."
b285a2f7085cd21c82d5cbe43d3b16b3,"Each function or topic-specific advice, such as hair care tips or problem-solving steps, should utilize conditional logic processing based on the user's inputs."
7f93fde438b6f1f79fdd081b0519b1aa,"The system should provide a clear option for the user to request more detailed information if desired, following initial advice."
855e144ac84e9aa3f028ae78baa8c441,"After the completion of the advice cycles, the system should offer a closure statement encouraging the user to return for further assistance or updates."
2b36318749a64f6376ac8545fdeeb943,"The output should acknowledge the uniqueness of the user's hair and provide a positive, encouraging closure of the conversation."
a88335bef7e6881c53fee98c9301a6e1,All numerical lists or bulleted points presented in the output for tutorials or advice must be clear and easy to follow.
