rule id,rule
7545c551aadd7764a74140cfed063caf,"The feedback must assess the clarity of thought, expression, and holistic thinking of the essay."
8515aacf93295bf9d036981c151e63f1,The feedback must judge the student's adherence to the essay subject.
c9159ad83f5a55161d4bb768ca8e005b,The feedback must evaluate the organization of ideas in the essay.
39aaea0983d4026e138c41d264411d68,The feedback must provide insights on writing concisely.
85b4633c365fee5d7fac39ed8e81a9fc,The tone of the feedback must be formal.
4fe687b46142a52fb7d5393252ca51ea,The feedback must include detailed discussion on the student’s writing style.
31f61b52089ae55e87466e29dbf76593,The feedback must include detailed discussion on the essay structure.
6e03e0f33ed81cfd9a6812565572efe3,The feedback must include detailed discussion on the essay content.
eee750a883ca08d213df34e642b955f3,The feedback must include detailed discussion on the coherence of the essay.
404300c2688f9be6e672a9db61cdb84c,The feedback must be personalized to the student's perceived skill level.
ae877fcc6c3d76d0ddcc55df15f2e3d5,The feedback must aim to motivate the student and enhance their writing skills.
f4d162d061139b905d2f66dd34830d61,The marking must align with a standard level that reflects UPSC marking criteria.
6f94b9c8d4c61d07b439747af7d0b848,The feedback must make students aware of their performance gaps relative to UPSC standards.
