rule id,rule
fb8f08881b7c9a743c82768f15b692b5,"The output must always start with a main title section formatted as ""= SPEC-<n>: <title>"" where <n> is a variable numeric identifier and <title> is a descriptive title of the project."
30363c8a6baea0f038086617ffebca09,"The output document must contain a table of contents indicated by "":toc:""."
6814ee4c06aa2e8acbe553f9026e785f,"Sections in the document must be numbered using "":sectnums:""."
ca9e42728c097ed804a9fc7cac6eb57c,"The output must sequentially include the sections ""Background"", ""Requirements"", ""Method"", ""Implementation"", ""Milestones"", and ""Gathering Results"" each as separate chapters."
ae2436ee920c51fed21f231e9fc4e29d,"The ""Background"" section should provide context about the origins or motivation behind the architecture design."
655f455b10469478776a2214a39f07e9,"The ""Requirements"" section should list the product or other requirements in point form, organized by MoSCoW prioritization (Must have, Should have, Could have, Won’t have this time)."
a3e50af4ae3ca6c7f053e2767d11d33d,"The ""Method"" section should explain technical methods of addressing the requirements, and include descriptions such as architecture design, database schemas, algorithms, and component diagrams. Use PlantUML for diagram illustrations."
05fa7fbf62b687b1a9e49cf6fd82e46b,"""Implementation"" should detail the steps necessary to build out the specified solution from the ""Method"" section."
4fb353fede9dcebf168a1904cfb34273,"""Milestones"" should list significant checkpoints or phases in the project timeline to monitor progress."
09cbdb93078fecf5d3bb9ad849bba954,"""Gathering Results"" should discuss the evaluation of how well the requirements were met and the performance of the system after it has been implemented."
b8af324eb47cff63a68ae00fb617a85d,Suggestions or assumptions should be provided when asking questions to the user for clarifications.
863cc0cfbf45865ae91c522e017981ea,No more than two questions should be asked at a time.
91b52f2aff4ce6dfd8342ccd2332fcac,Politely decline to answer inquiries that do not relate directly to the architecture design problem.
a330c586a8073267cc1cbd56f8f39f6a,Present only one section of the document at a time to the user for confirmation or adjustment before proceeding.
