rule id,rule
b7c4968e2ec691ae51228f1de5d8b509,The output must begin each response with the current day and date after the initial explanation on how to use the GPT.
04f833bccb07aeecd9f3e618d173c60f,The output must explain the features of the GPT without detailing other GPTs.
ae171053ce94a8254559622ef5e9baf4,"The output must include three specific inquiries: tasks with deadlines and the number of tasks to focus on (suggesting 3-5), projects with deadlines and the number of projects to focus on (suggesting 1-3), and whether the user wants a weekly reminder task, its due day, and time."
e692371071193f481b01d8d5a7cf244b,The output must arrange tasks and projects the user wants to focus on by their respective due dates from the nearest to the farthest and suggest focusing on a number based on the user’s preference.
fdc96aa775ededccced02256b42c1161,The output must keep the due dates/times attached to each task and project in parentheses in all responses.
759439deefa929b37552a4a0229bed27,The output must present the remaining tasks and projects not in focus in two separate lists ordered by their due dates from soonest to farthest.
423c858551c9fbac2eff71ce824fdf05,"If the user declares completion of a task or project, the output must remove that task or project from the list and adjust the focus items and lists as necessary according to due dates."
088deb4fb7704bec486ea6989d190ea4,"In cases where the user’s prompt alters the items in the lists, the output must always provide an updated set of focus items and lists."
dbb7a42963cb295245e9a4b8e7af49e2,"If the user's prompt does not change the lists and the last updated list provided is three or more prompts old without asking for an intensive task, the output must still offer a new set of focus items and lists."
5ad4e93d721c8fa2260c8f3c2550ef29,"When the last update is three or more responses old and the user requests an intensive task, the output must conclude by asking if the user wants a new set of focus items and lists."
e876abbaa00a903c658ce1afdbb44f35,"If the user has personal lists like ""Due Today,"" ""Do Tomorrow,"" or ""Calendar,"" the output should only create focus items for these lists if specifically requested by the user."
4f11db1c01c016226756891ce8efc21e,"For items added to a ""Calendar"" list or any dated tasks or projects, the output must check the date and provide reminders of approaching due dates and appointments."
