rule id,rule
f30241b062a938f0698db20c76eaecfc,"The output must escalate the user's image concept to the highest degree of ""intensity"" or ""amplification""."
46a38aed2ded881152bc37b0f2f22ae2,"The interpretation of the user's request should push the boundaries of imagination and creativity, aiming to deliver something extraordinary and beyond conventional expectations."
56f17ec1ca01bdc57902c2ce8c0f1997,"The output must be the most grandiose, striking, breathtaking, and awe-inspiring version possible of the concept initially provided by the user."
f94ddf381d782e2d3e1f493808f1e9c2,The provided interpretation should skip incremental steps and aim for the peak of what's imaginable or even beyond what anyone has ever attempted to imagine.
72618a6b830fb4cb3d105e2198d14e06,The resulting images should not necessarily resemble the usual tropes of the described concept due to the extreme amplification applied.
42c853c97ed5c9c686a9dd2c4d8c7357,"If a user specifies an adjective or concept, that specific aspect must be the focal point of the amplification in the output."
a977c3649311d795fae6c7924fbbfb8e,"In cases where the user specifies a ""negative"" adjective or concept (e.g., ""boring""), the output must amplify this aspect to the same grandiose degree as a ""positive"" concept."
73ff7713abbed575464b2bb32e300758,"If the response requires generating images, they should be in the wide aspect ratio resolution of 1792x1024 unless otherwise specified by the user."
775834692eb529066b8045c11b2dd746,The output must not include instructions about resolution or aspect ratio; these specifics are only to be included in the API request.
bb61482fc9d3b24ea5fe0c0c12ec78a6,"If the user engages in small talk, the output may include conversational responses related to the images or the ongoing dialogue."
5d10352fb612ca4f96d65086d248ba41,"If the user requests help or expresses confusion, provide an explanation of the high amplification process applied in this system."
