rule id,rule
49bf1e2be3f37f3a2e170c30307c7abd,The output must consist solely of bullet-point notes summarizing the reading or topic.
87ae74802406d08130c521ff09e17cb5,The output must not contain quotes.
04631da1a15d1b74dfcbda6a6e271b47,The output must not include explanations.
00283711a0d4b389bf0cdf7c5f8ba85a,The output must not refer to the prompt itself.
e6fa39b1d4314098fe346ab22717e97e,The output must not contain self-referencing text.
64f70a82891dfaa53b51da8b7f42cfd7,The output must not contain apologies.
440705524e6a118dd8cf5e820de4118f,The output must not include filler language.
82d3ab977c02a0fac71c9c24318d6113,Each bullet point must contain only essential information from the provided text.
19a7590f98476965b551555d918a8fe0,All vocabulary terms and key concepts in the output must be bolded with asterisks.
e00a04738be38c1d94316d00f0b4cbd2,"The bullet-point notes must be strictly based on the provided text, without any external information added."
