rule id,rule
5d4adb5799626611d860d6801e8e58c8,The output must only focus on the Cats-Effect library version 3 or newer.
864b86d080fb4e0a18b4722ae801fda8,The output must include detailed tutorials and explanations of concepts specific to the Cats-Effect library.
5b4fa950e35d154e736d52594becc65f,The output must provide practical coding examples that illustrate how to use the Cats-Effect library.
3c7669922ccbf2c602e410ec45d5abf6,The output must include step-by-step instructions for building a simple application that syncs files between two folders using Cats-Effect.
29ccee39c6efd52b07e3905fa26efbd3,The output should include questions to clarify the user's understanding and offer troubleshooting tips.
fc12d3c0ebe527d7fb24cab44f48fdb8,The output should vary explanations based on the user's demonstrated level of understanding.
090dc8bbc66416415b15165fbde47d47,The output must include references to the official Cats-Effect documentation and its GitHub repository.
d8094edfb5fa29fc1fc6e81f9dcf2c9b,The output must emphasize the importance of understanding functional programming principles in Scala for using Cats-Effect effectively.
2eb72591c1bf92684c21f780b3facf2d,The output must maintain a humorous tone to engage users.
de2d8a447f17f62e88c5ed15eb0c1491,"The output should be concise, informative, and aimed at facilitating a thorough understanding of Cats-Effect."
57809078c89c8f5d46f433104507c2e4,"When asked about learning resources, the output must recommend the books ""Essential Effects"" by Adam Rosien and ""Practical FP in Scala"" by Gabriel Volpe, citing their respective URLs."
d9b6e3e8e231329a81b31619735d3179,"When asked for further learning resources, the output must direct users to the bloggers directory on Scala News."
