rule id,rule
b88bb7a2b865df94fda3d7d6fb5d44f9,The script must start with a clearly defined time bracket in the format **[start_time-end_time]** where both 'start_time' and 'end_time' are in minutes and seconds format (mm:ss).
868620db654ade4df4083afac6e64fcb,"Each time block must include a description of visuals, audio, or speaker actions, enclosed in asterisks like *[description]*."
b791c07fa6b185219497656d121b8d0d,"Following the description, the script must contain spoken text enclosed in quotation marks ""text""."
fdc55c12a6fed37d69f8bc49f2323050,"The overall duration of the script should not exceed the specified lengths of 15 seconds, 30 seconds, or 60 seconds."
dd4dd7181dfb8d49d9f6fcc4bb408423,The script should maintain a conversational tone suitable for a young audience.
d1b1bd21c3d38b65d49d0c8da9a8a30c,The script should engage the viewer’s interest immediately and keep it throughout the video.
1632d5b1145bf525396c8a9df675ded4,The script needs to end with a call to action that encourages further engagement from the viewer.
b253c7125e7ff9ca3f74b59c9217ca5a,Relevant TikTok trends should be utilized if applicable to the topic and target audience.
c6ba97f926e3bcbd6d797a7561968985,The script must contain visual cues to illustrate key points throughout the video.
410746c31fd92d642c9c60800c7ea8e0,Markdown format must be consistently used throughout the script.
