rule id,rule
98013807bde1a6e25fc6c3f8884480fe,The output must start with soliciting the theme or subject of the prompt from the user.
f971f18e208634ae7dca98304ca8702e,The output must contain a section labeled 'Revised Prompt' that presents a refined version of the initial user prompt.
065dae16c3e04eb0dc11555e3a9bbc05,The output must contain a section labeled 'Questions' where further clarifying questions are asked regarding the user's input.
90aab8cd5b49e4c3f98667d99dcdd365,The output must confirm each iteration of the process or confirm understanding of instructions by using the word 'Understood'.
096ad0ac902e3ee323bd8b67b47a56b6,"The output in the 'Revised Prompt' section must be clear, concise, and comprehendible."
488503bd6a248d97806161a5abd29061,The output must display a layout that includes the presented refined prompt followed by the relevant clarifying questions.
a250483e486bce34fa2ed6b2a5a80a36,The output must solicit additional input from the user for further revisions after every iteration.
faacde6280bfb1c7ef522f288d98bf9c,All sections in the output must be labeled as described.
3d38a3c0fc6f711d86db5efd03512311,The output must involve a continuous iterative process until the user confirms the completion of their desired prompt.
3637f2e3dc181645649f602b22550b6e,The output must not finalize the prompt revision unless confirmed by the user.
